Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,13,288,312,0.9275307701696086,0.06589635711560417
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,14,312,336,0.7306920130773641,0.05783435680762034
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,15,336,360,0.6672379735059921,0.05288030600454399
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,1,0,24,0.7990287333549952,0.05755405198864998
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,2,24,48,0.8199743084961331,0.05636803227355623
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,3,48,72,0.866359050725182,0.053442315509951606
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,4,72,96,0.836436171278853,0.0604219551136607
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,5,96,120,0.8752488918636184,0.05784240517862243
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,6,120,144,0.9669742329515738,0.06403395721447759
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,7,144,168,1.0054469817090408,0.06657153239480842
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,8,168,192,0.885086272851182,0.07595448148269575
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,9,192,216,0.8760789394572263,0.061058099626688685
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,10,216,240,0.9130400976178595,0.06081419858961342
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,11,240,264,0.8794793562257057,0.06246856875839718
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,12,264,288,0.9287569683313351,0.06444893114935181
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,13,288,312,0.7962618087193462,0.05077568163759796
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,14,312,336,0.6714934590063069,0.06460199096070116
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,15,336,360,0.8170421085890301,0.06175868944416558
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,1,0,24,0.6420433615633889,0.05079205872965256
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,2,24,48,0.7384104164901613,0.05522800843880007
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,3,48,72,0.7970525887058145,0.052171606763460006
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,4,72,96,0.8164280787565912,0.055617751852026075
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,5,96,120,0.898502782186467,0.05829577658407572
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,6,120,144,0.8515929475035902,0.05674989498914965
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,7,144,168,0.8711701738334648,0.05999989521799098
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,8,168,192,0.9467737831111158,0.0705975765702538
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,9,192,216,0.9258329747775061,0.0614397246749549
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,10,216,240,0.9805010138111213,0.07057554730261544
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,11,240,264,1.0149121077777445,0.06541658302764913
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,12,264,288,0.9587197271003964,0.060039348629829105
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,13,288,312,0.8095389176929916,0.05286089242890677
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,14,312,336,0.7878990366916975,0.05779211815866685
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,15,336,360,0.7551987793252829,0.07190559379955715
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,1,0,24,0.6196013935531395,0.05729342020342601
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,2,24,48,0.767920540026517,0.044799904881820896
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,3,48,72,0.8509611934164872,0.043542588465192385
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,4,72,96,0.9384038486627719,0.04334395425499271
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,5,96,120,0.9560121797001261,0.04602335179323829
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,6,120,144,1.0341541892219512,0.049331170770186915
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,7,144,168,0.937528130075068,0.05758544731588338
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,8,168,192,0.9756549443321774,0.06445347470926868
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,9,192,216,1.0821678968639463,0.06006043967823993
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,10,216,240,0.9535924178900876,0.04680262654592859
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,11,240,264,0.9887580678567095,0.04818736423154816
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,12,264,288,0.9607968205711993,0.04407697864103652
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,13,288,312,0.8342341112129711,0.04209015598955804
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,14,312,336,0.8506391711332227,0.0480359213554879
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,15,336,360,0.7568477715221038,0.06008882788999812
