Physics Setting,Run Type,Run Number,Charge,Charge Error,HMS Tracking Eff,HMS Tracking Eff Error,SHMS Tracking Eff,SHMS Tracking Eff Error,HMS Cer Detector Eff,HMS Cer Detector Eff Error,HMS Cal Detector Eff,HMS Cal Detector Eff Error,HMS Hodo 3/4 Eff,HMS Hodo 3/4 Eff Error,SHMS Hodo 3/4 Eff,SHMS Hodo 3/4 Eff Error,EDTM Live Time,EDTM Live Time Error,Boiling Factor,Boiling Factor Error,Dummy Target Correction,Dummy Target Correction Error,Effective Charge,Effective Charge Error
Q3p85_W2p62_t0p21_loweps_left,dummy,16333.0,114.295,0.27903415125925257,0.9965,0.0005,0.9922,0.0013,0.9981,0.0001,0.9981,0.0001,0.997245,0.0005,0.984247,0.0013,0.9994,0.0001,NA,NA,3.527,0.227,110.43257050804752,0.22087765468775858
Q3p85_W2p62_t0p21_loweps_left,dummy,16334.0,78.199,0.1896745252271798,0.9963,0.0006,0.9953,0.0012,0.9981,0.0001,0.9981,0.0001,0.997505,0.0006,0.985173,0.0012,0.9998,0.0001,NA,NA,3.527,0.227,75.89866892963447,0.14597398936611844
Q3p85_W2p62_t0p21_loweps_left,dummy,16335.0,56.367,0.13708057430548112,0.9962,0.0007,0.9928,0.0017,0.9981,0.0001,0.9981,0.0001,0.997383,0.0007,0.987412,0.0017,0.9996,0.0002,NA,NA,3.527,0.227,54.67237598276632,0.14414235420334165


Variable,Value
Total Data Effective Charge,3089.5362393631563
Total Data Effective Charge Error,49.300460380248445
Total Dummy Effective Charge,850.01975
Total Dummy Effective Charge Error,54.71815122380216
Normalization Data Factor (Data),0.00032367317374666215
Normalization Dummy Factor (Dummy),0.00117644325103258
Normalization SIMC Factor,22.999444444444446
