Run_Start,Run_End,Bunch_Spacing,Coin_Offset,nSkip,nWindows,Pion_Prompt_Peak,Kaon_Prompt_Peak,Proton_Prompt_Peak,RF_Offset,PiRFLow,PiRFHigh,KRFLow,KRFHigh,pRFLow,pRFHigh
4984,4984,4.008,0.25,2,6,0,0.24,0.33,0.05,1.5,2.5,0.75,1.75,0,0.75
4985,4985,4.008,0.25,2,6,0,0.16,0.33,0.05,1.5,2.5,0.75,1.75,0,0.75
4986,4986,4.008,0.25,2,6,0,0.33,0.53,0.05,1.5,2.5,0.75,1.75,0,0.75
4987,4987,4.008,0.25,2,6,0,0.3,0.55,0.05,1.5,2.5,0.75,1.75,0,0.75
4990,4990,4.008,0.25,2,6,0,0.14,0.37,0.05,1.5,2.5,0.75,1.75,0,0.75
4991,4991,4.008,0.25,2,6,0,0.15,0.32,0.05,1.5,2.5,0.75,1.75,0,0.75
4995,4995,4.008,0.25,2,6,0,0.14,0.25,0.05,1.5,2.5,0.75,1.75,0,0.75
4996,4996,4.008,0.25,2,6,0,0.13,0.43,0.05,1.5,2.5,0.75,1.75,0,0.75
4997,4997,4.008,0.25,2,6,0,0.16,0.37,0.05,1.5,2.5,0.75,1.75,0,0.75
4998,4998,4.008,0.25,2,6,0,0.15,0.38,0.05,1.5,2.5,0.75,1.75,0,0.75
4999,4999,4.008,0.25,2,6,0,0.16,0.62,-0.097,1.5,2.5,0.75,1.75,0,0.75
5000,5000,4.008,0.25,2,6,0,0.37,0.31,-0.097,1.5,2.5,0.75,1.75,0,0.75
5001,5001,4.008,0.25,2,6,0,0.32,0.36,-0.097,1.5,2.5,0.75,1.75,0,0.75
5002,5002,4.008,0.25,2,6,0,0.22,0.36,-0.097,1.5,2.5,0.75,1.75,0,0.75
5003,5003,4.008,0.25,2,6,0,0.24,0.38,-0.097,1.5,2.5,0.75,1.75,0,0.75
5004,5004,4.008,0.25,2,6,0,0.3,0.4,-0.097,1.5,2.5,0.75,1.75,0,0.75
5005,5005,4.008,0.25,2,6,0,0.32,0.34,-0.097,1.5,2.5,0.75,1.75,0,0.75
5006,5006,4.008,0.25,2,6,0,0.17,0.26,-0.097,1.5,2.5,0.75,1.75,0,0.75
5007,5007,4.008,0.25,2,6,0,0.25,0.35,-0.097,1.5,2.5,0.75,1.75,0,0.75
5008,5008,4.008,0.25,2,6,0,0.27,0.37,-0.097,1.5,2.5,0.75,1.75,0,0.75
5009,5009,4.008,0.25,2,6,0,0.1,0.43,-0.097,1.5,2.5,0.75,1.75,0,0.75
5010,5012,4.008,0.25,2,6,0,0.1,0.43,-0.097,1.5,2.5,0.75,1.75,0,0.75
5011,5011,4.008,0.25,2,6,0,0.52,0.52,-0.097,1.5,2.5,0.75,1.75,0,0.75
5012,5012,4.008,0.25,2,6,0,0.58,0.25,-0.097,1.5,2.5,0.75,1.75,0,0.75
5013,5013,4.008,0.25,2,6,0,0.07,0.34,-0.04,1.5,2.5,0.75,1.75,0,0.75
5014,5014,4.008,0.25,2,6,0,0.16,0.53,-0.04,1.5,2.5,0.75,1.75,0,0.75
5015,5015,4.008,0.25,2,6,0,0.13,0.38,-0.04,1.5,2.5,0.75,1.75,0,0.75
5016,5016,4.008,0.25,2,6,0,0.19,0.3,-0.04,1.5,2.5,0.75,1.75,0,0.75
