Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,12,264,288,1.995044595784861,0.24418690370320847
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,13,288,312,5.98206605776489,0.6061710183557383
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,14,312,336,6.1635596429577175,0.7077795094614198
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,15,336,360,7.289608010750867,1.010407364565552
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,1,0,24,8.441478932179104,1.342022658269375
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,2,24,48,7.6188502310570465,1.0596088530664367
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,3,48,72,7.15671165727987,0.7943275116324492
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,4,72,96,2.878218965505765,0.31999503786899486
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,5,96,120,1.0514855020030405,0.09957755281706718
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,6,120,144,1.0425685888845015,0.07962972251578204
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,7,144,168,1.068103239267039,0.08680355377036385
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,8,168,192,1.171631785452707,0.09094957911144438
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,9,192,216,1.129384213067218,0.08738088026721887
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,10,216,240,1.1148664674698925,0.08416473852972764
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,11,240,264,1.2911348453872626,0.11284758878746814
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,12,264,288,2.5897075526626043,0.309516464295073
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,13,288,312,6.595913334968832,0.6519193870823397
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,14,312,336,7.917954246450132,0.9915655797521745
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,15,336,360,11.301311851341929,1.5720897810467713
