Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,4,72,96,9912.0,0.10920685751238474,0.0011094849933884344,1.0159480994704129
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,5,96,120,7980.0,0.09052248147475861,0.001024623677321135,1.1318996790944604
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,6,120,144,5309.0,0.061760169610284764,0.000856167752643164,1.3862781757979312
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,7,144,168,3874.0,0.04567062538935217,0.0007408194401301983,1.6220917358029348
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,8,168,192,3447.0,0.04070218581150366,0.0006999633434942668,1.7197192964915318
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,9,192,216,3865.0,0.045477364661948606,0.0007386047534585293,1.624115115176249
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,10,216,240,5312.0,0.06176745053864614,0.0008563203227008541,1.386361773447455
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,11,240,264,8235.0,0.09355148755066259,0.0010424487844213801,1.1143048728721117
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,12,264,288,9846.0,0.10875872361478087,0.0011089946690141597,1.019683416791627
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,13,288,312,10278.0,0.10885054803693803,0.0010871482291870452,0.9987531057887973
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,14,312,336,7840.0,0.080292825126154,0.0009200887795429272,1.1459165599134264
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,15,336,360,5213.0,0.05388244564580083,0.000757212856964736,1.405305286145168
Q3p85_W2p62_t0p21_loweps_center,3,0.27,0.308,1,0,24,1991.0,0.021165546772644872,0.00048114671938522,2.27325438153609
Q3p85_W2p62_t0p21_loweps_center,3,0.27,0.308,2,24,48,3674.0,0.037397730973954456,0.0006270180965691191,1.6766206939287418
Q3p85_W2p62_t0p21_loweps_center,3,0.27,0.308,3,48,72,9887.0,0.09757331377601385,0.0009955061100346962,1.0202647337774629
Q3p85_W2p62_t0p21_loweps_center,3,0.27,0.308,4,72,96,11406.0,0.11733057764191118,0.0011118645118727462,0.9476340560310865
Q3p85_W2p62_t0p21_loweps_center,3,0.27,0.308,5,96,120,9624.0,0.10226962494626558,0.00105443778167343,1.0310371063035106
Q3p85_W2p62_t0p21_loweps_center,3,0.27,0.308,6,120,144,5931.0,0.06479365097256481,0.0008498244815796712,1.3115860409525422
Q3p85_W2p62_t0p21_loweps_center,3,0.27,0.308,7,144,168,4072.0,0.0447157742261277,0.0007076693537684446,1.5825944334313886
Q3p85_W2p62_t0p21_loweps_center,3,0.27,0.308,8,168,192,3568.0,0.03952364345486601,0.0006681472425875412,1.6905001264636226
Q3p85_W2p62_t0p21_loweps_center,3,0.27,0.308,9,192,216,4126.0,0.04551413043572999,0.0007154520739072561,1.5719339621736557
Q3p85_W2p62_t0p21_loweps_center,3,0.27,0.308,10,216,240,6120.0,0.06675026449772946,0.0008621216180465203,1.2915628492765685
Q3p85_W2p62_t0p21_loweps_center,3,0.27,0.308,11,240,264,9518.0,0.10107462142264216,0.0010476375936157977,1.036499151686273
Q3p85_W2p62_t0p21_loweps_center,3,0.27,0.308,12,264,288,11120.0,0.11500993201939587,0.0011036518678740703,0.9596143989442101
Q3p85_W2p62_t0p21_loweps_center,3,0.27,0.308,13,288,312,9610.0,0.09522816442214234,0.0009848751564877796,1.0342267568257124
Q3p85_W2p62_t0p21_loweps_center,3,0.27,0.308,14,312,336,3625.0,0.036906869917379806,0.0006227183267588755,1.6872694112312985
Q3p85_W2p62_t0p21_loweps_center,3,0.27,0.308,15,336,360,2078.0,0.022189544498608032,0.0004935510011947012,2.224250259962128
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,1,0,24,837.0,0.009336301399197696,0.000326644871233811,3.498653880881361
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,2,24,48,1334.0,0.014414593280966293,0.0004002367563126181,2.776608042358778
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,3,48,72,5074.0,0.048686570209171304,0.0006957994459131641,1.4291404034496833
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,4,72,96,10286.0,0.09894730278117782,0.0009894788532579283,1.000005887422887
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,5,96,120,9270.0,0.09175648073311526,0.0009649835497978045,1.051678902773718
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,6,120,144,5278.0,0.05364469421890489,0.0007471788210940428,1.3928289311242454
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,7,144,168,3186.0,0.03294454723380762,0.0005912109150183633,1.7945637887281813
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,8,168,192,2477.0,0.025689296480413203,0.0005228374070320259,2.0352344309259816
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,9,192,216,3066.0,0.03181431291561954,0.0005816604726236082,1.8282980813268999
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,10,216,240,5403.0,0.05481499124800532,0.0007547188563078405,1.3768475359107246
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,11,240,264,9274.0,0.09186597217319857,0.0009661261684878445,1.0516692368599425
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,12,264,288,9811.0,0.09477833533220881,0.0009701744171615262,1.0236246646039466
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,13,288,312,4660.0,0.045276023981948105,0.0006755897839871547,1.4921579338691875
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,14,312,336,1322.0,0.014468271438318005,0.0004036297145563672,2.789757686515251
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,15,336,360,845.0,0.00939706151726586,0.00032727616124291083,3.4827500133055853
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,1,0,24,297.0,0.003246218475970548,0.00019076453220411306,5.876515509236594
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,2,24,48,554.0,0.005989167629675905,0.00025757874902015244,4.300743691725504
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,3,48,72,1990.0,0.019995374417255837,0.00045596283972923365,2.2803415940825875
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,4,72,96,7249.0,0.0662621294450144,0.0007916195554222827,1.1946787132447714
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,5,96,120,9323.0,0.08363591053799975,0.0008802309035575153,1.0524556950421253
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,6,120,144,4658.0,0.04318957458924194,0.0006434985708942559,1.489939590779263
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,7,144,168,1969.0,0.019333583069652875,0.0004438880667386724,2.29594310138727
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,8,168,192,1467.0,0.014477172379389709,0.0003846968683109962,2.6572652326684065
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,9,192,216,2035.0,0.019791846832534994,0.00044631712479227667,2.2550554709154
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,10,216,240,4861.0,0.04520042566551667,0.0006590840496697397,1.4581368205400635
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,11,240,264,9060.0,0.08180856961558268,0.0008738138516305409,1.0681201929535988
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,12,264,288,6810.0,0.06218675074713807,0.0007667858409623849,1.233037313816679
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,13,288,312,1852.0,0.018712922736390077,0.00044210733053573167,2.362577651624606
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,14,312,336,571.0,0.006131457154943801,0.00025977754139397597,4.236799423519042
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,15,336,360,351.0,0.0038646118465824955,0.00020878164671785337,5.402396282112536
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,1,0,24,6740.0,0.0744293027058804,0.0009182187338256699,1.2336790759066518
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,2,24,48,4868.0,0.054602644174883336,0.0007917680151281463,1.4500543464383207
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,3,48,72,1101.0,0.01310804418514824,0.00039927927639276864,3.046062942366052
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,4,72,96,41.0,0.0005511213686275672,8.662294376376997e-05,15.717580318012928
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,5,96,120,1.0,1.2459631824160372e-05,1.2459631824160372e-05,100.0
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,6,120,144,1.0,1.4217351503734537e-05,1.4217351503734537e-05,100.0
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,7,144,168,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,8,168,192,1.0,1.4840965872824403e-05,1.4840965872824403e-05,100.0
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,9,192,216,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,10,216,240,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,11,240,264,6.0,7.250102719743268e-05,2.9963570025292956e-05,41.3284765520591
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,12,264,288,61.0,0.0008093066449592134,0.00010435766947257107,12.894700682685038
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,13,288,312,1154.0,0.013786943464826014,0.0004102098770939768,2.975350396848483
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,14,312,336,4954.0,0.05569046156366869,0.0008007963497009829,1.4379416640055394
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,15,336,360,6723.0,0.07408869926225096,0.0009154564092639565,1.2356221912110044
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.27,1,0,24,10787.0,0.10712771880228683,0.0010461780173242692,0.9765707970082684
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.27,2,24,48,10143.0,0.1035325591942855,0.0010416041827073876,1.0060643635329736
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.27,3,48,72,5000.0,0.054675851531239605,0.0007814752886228344,1.4292878240338525
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.27,4,72,96,628.0,0.007630420400793184,0.0003067486714279505,4.020075635623745
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.27,5,96,120,35.0,0.00042384633884176673,7.200532142118734e-05,16.98854391852347
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.27,6,120,144,7.0,8.233266384019089e-05,3.13342487241197e-05,38.05810144190161
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.27,7,144,168,4.0,4.695546314250502e-05,2.35147368883643e-05,50.07880939646891
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.27,8,168,192,1.0,1.3703390743128492e-05,1.3703390743128492e-05,100.0
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.27,9,192,216,4.0,4.718478825310829e-05,2.3703969342240637e-05,50.23646437722255
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.27,10,216,240,8.0,0.00010317904088548049,3.675821578214297e-05,35.625661439265855
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.27,11,240,264,55.0,0.0006560019838832274,8.899354574726241e-05,13.566048264132055
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.27,12,264,288,626.0,0.00747085467908981,0.000300776481195895,4.025998284208885
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.27,13,288,312,5225.0,0.05703591238175684,0.0007978134714208459,1.3987914598102047
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.27,14,312,336,10164.0,0.10359338034262383,0.001040929334716972,1.0048222495242567
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.27,15,336,360,10694.0,0.10611794544878052,0.0010412842748111749,0.9812518235323043
Q3p85_W2p62_t0p21_loweps_left,3,0.27,0.308,1,0,24,15602.0,0.13954999045194305,0.0011355897240866288,0.8137512015650713
Q3p85_W2p62_t0p21_loweps_left,3,0.27,0.308,2,24,48,14514.0,0.13522360285008786,0.0011388992007038635,0.8422340306717568
Q3p85_W2p62_t0p21_loweps_left,3,0.27,0.308,3,48,72,9251.0,0.0920190121416678,0.0009678129717664538,1.0517532727654781
Q3p85_W2p62_t0p21_loweps_left,3,0.27,0.308,4,72,96,1827.0,0.020007466256466558,0.00047171891571529595,2.3577144135521557
Q3p85_W2p62_t0p21_loweps_left,3,0.27,0.308,5,96,120,112.0,0.0012760791304968389,0.00012138398448076793,9.512261550230614
Q3p85_W2p62_t0p21_loweps_left,3,0.27,0.308,6,120,144,23.0,0.0002593331341019223,5.4580598384274405e-05,21.046519401883796
Q3p85_W2p62_t0p21_loweps_left,3,0.27,0.308,7,144,168,8.0,9.095180131430109e-05,3.2331672922946247e-05,35.548139185520974
Q3p85_W2p62_t0p21_loweps_left,3,0.27,0.308,8,168,192,11.0,0.00012299565756226292,3.7437775386093055e-05,30.438290365772698
Q3p85_W2p62_t0p21_loweps_left,3,0.27,0.308,9,192,216,11.0,0.00012671469451228746,3.8432493789053084e-05,30.329942345657713
Q3p85_W2p62_t0p21_loweps_left,3,0.27,0.308,10,216,240,30.0,0.0003422350215222991,6.288390676901175e-05,18.37448034666271
Q3p85_W2p62_t0p21_loweps_left,3,0.27,0.308,11,240,264,146.0,0.0016292114127627716,0.00013573127650228344,8.331102730990208
Q3p85_W2p62_t0p21_loweps_left,3,0.27,0.308,12,264,288,1828.0,0.019918525209502123,0.00046943560453149624,2.356778926120254
Q3p85_W2p62_t0p21_loweps_left,3,0.27,0.308,13,288,312,9463.0,0.09430523043600252,0.0009806447383289764,1.039862512180024
Q3p85_W2p62_t0p21_loweps_left,3,0.27,0.308,14,312,336,14926.0,0.13915891084748,0.0011550780562765359,0.8300424667325232
Q3p85_W2p62_t0p21_loweps_left,3,0.27,0.308,15,336,360,15442.0,0.13887789864509167,0.0011360751236059617,0.818038820207994
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,1,0,24,20552.0,0.16462784578298612,0.0011707052907267014,0.7111222801699875
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,2,24,48,19113.0,0.1607685590823115,0.001182896541190134,0.7357760422449925
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,3,48,72,12159.0,0.11078523771941627,0.001018288502379578,0.9191554067506525
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,4,72,96,2520.0,0.025078833592247607,0.0005039188308616182,2.0093391864021544
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,5,96,120,122.0,0.001281330952239238,0.0001168536062514793,9.119705260164627
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,6,120,144,22.0,0.00024102239608361252,5.1990629661986e-05,21.570870801545784
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,7,144,168,14.0,0.00014786953508626907,3.9911656982099594e-05,26.99112901032292
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,8,168,192,8.0,9.097216198856333e-05,3.248181539992213e-05,35.70522530178586
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,9,192,216,7.0,7.071681517362549e-05,2.6928749610988137e-05,38.079697940118024
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,10,216,240,19.0,0.00019590107231644537,4.517853555634533e-05,23.061913353576223
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,11,240,264,117.0,0.0012266097048919844,0.00011440577097375386,9.326990526609967
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,12,264,288,2610.0,0.025846287908039486,0.0005106127797852607,1.9755749127379898
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,13,288,312,11925.0,0.10842555673239065,0.0010064874009365606,0.9282750591917286
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,14,312,336,19131.0,0.1613654668298164,0.0011867957490410137,0.7354707127595425
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,15,336,360,20410.0,0.1634937581428895,0.0011673748435199393,0.7140179886865666
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,1,0,24,25840.0,0.18730707125698365,0.0011944046279618384,0.6376719362202432
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,2,24,48,32959.0,0.2431829898577489,0.0013693121638628848,0.5630789245020266
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,3,48,72,19107.0,0.15277557376534417,0.0011266695189553876,0.7374670513009475
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,4,72,96,3847.0,0.03422208033170682,0.0005602528541276159,1.6371092835304364
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,5,96,120,95.0,0.0009917678713296618,0.00010307158603306648,10.39271275191427
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,6,120,144,16.0,0.00017592476878087066,4.450352049775792e-05,25.29690435642457
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,7,144,168,7.0,8.026247935773592e-05,3.090032978556966e-05,38.49909700377503
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,8,168,192,6.0,6.601589129329316e-05,2.7282426060152603e-05,41.32705856979673
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,9,192,216,11.0,0.00012287595206794322,3.731243223062523e-05,30.365935402879842
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,10,216,240,17.0,0.00019565955773356654,4.781643674889856e-05,24.43858981528065
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,11,240,264,83.0,0.0008784620852852577,9.764968899116074e-05,11.115982195116771
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,12,264,288,3768.0,0.033802863061809914,0.0005596277017024901,1.6555630234018581
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,13,288,312,18694.0,0.14997849296937193,0.0011187815569471138,0.745961327385512
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,14,312,336,32626.0,0.24105585766334292,0.0013642158659291901,0.5659335056833364
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,15,336,360,25799.0,0.18766523052742778,0.0011972681802193284,0.6379808219425838
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,1,0,24,15.0,0.012184950826968513,0.003155692377565308,25.89827749309359
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,2,24,48,24.0,0.019842536397639075,0.0040717215628923815,20.52016678360155
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,3,48,72,62.0,0.04900854675516286,0.0062496314390658335,12.752125604310963
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,4,72,96,390.0,0.27958788496735926,0.014256107688807237,5.098971899469671
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,5,96,120,868.0,0.589886650863608,0.020172734176901665,3.4197644831203258
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,6,120,144,1112.0,0.7481489348932496,0.022608463866004666,3.021920210209292
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,7,144,168,1145.0,0.7509528374028839,0.02236829688911144,2.9786553529074578
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,8,168,192,1188.0,0.7870112956449693,0.023027730082651805,2.925971991771755
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,9,192,216,1111.0,0.7330651121969503,0.022167764331498845,3.0239829945069197
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,10,216,240,982.0,0.6591779920530086,0.021191070334352677,3.214772123740528
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,11,240,264,810.0,0.5505038661354241,0.01948765723053256,3.5399673697729472
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,12,264,288,382.0,0.2719557180560047,0.014000280252374965,5.147999958394639
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,13,288,312,61.0,0.04723661709930577,0.006068305003765688,12.846612175906378
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,14,312,336,22.0,0.017648279848561894,0.0037701125334006044,21.362492921415342
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,15,336,360,11.0,0.008839649615937258,0.0026677040584303763,30.1788438946799
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.27,1,0,24,1.0,0.0010198270692750762,0.0010198270692750762,100.0
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.27,2,24,48,1.0,0.000893801536753017,0.000893801536753017,100.0
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.27,3,48,72,5.0,0.004096352203577528,0.0018390297723809071,44.89432746468431
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.27,4,72,96,108.0,0.06469539131013213,0.006301222897588892,9.739832729942911
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.27,5,96,120,578.0,0.32046600960903215,0.013415906786422429,4.1863743374187505
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.27,6,120,144,953.0,0.5159316822486956,0.0167969469944097,3.2556533301463424
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.27,7,144,168,1036.0,0.5516507764809299,0.017236070662583872,3.1244532587329203
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.27,8,168,192,1054.0,0.5582102758750987,0.017306120448750916,3.1002869701064433
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.27,9,192,216,977.0,0.5176351605847819,0.016659614777427476,3.218408648787846
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.27,10,216,240,818.0,0.44402621101084333,0.015606869313678893,3.5148531610666036
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.27,11,240,264,524.0,0.2916642807585226,0.012820540401716018,4.395649809559821
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.27,12,264,288,90.0,0.05331674697244822,0.005671262944477212,10.636926043908634
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.27,13,288,312,2.0,0.0015137998925474675,0.0010720493090038482,70.81842945567738
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.27,14,312,336,3.0,0.002639383173047463,0.001524590827706785,57.76314872639256
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.27,15,336,360,1.0,0.0007896616765671449,0.0007896616765671449,100.0
Q3p85_W2p62_t0p21_higheps_right,3,0.27,0.308,1,0,24,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,3,0.27,0.308,2,24,48,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,3,0.27,0.308,3,48,72,1.0,0.0007975278314715979,0.0007975278314715979,100.0
Q3p85_W2p62_t0p21_higheps_right,3,0.27,0.308,4,72,96,76.0,0.04069824403758988,0.004739860470550135,11.646351292631412
Q3p85_W2p62_t0p21_higheps_right,3,0.27,0.308,5,96,120,674.0,0.3325242234586936,0.012925083266594084,3.8869599129218466
Q3p85_W2p62_t0p21_higheps_right,3,0.27,0.308,6,120,144,1139.0,0.5366060306500183,0.015993523837678575,2.9804964767736215
Q3p85_W2p62_t0p21_higheps_right,3,0.27,0.308,7,144,168,1306.0,0.5992173273201862,0.016703829958954107,2.7876079674893264
Q3p85_W2p62_t0p21_higheps_right,3,0.27,0.308,8,168,192,1333.0,0.6012442987716317,0.01657665258985446,2.7570577590043324
Q3p85_W2p62_t0p21_higheps_right,3,0.27,0.308,9,192,216,1293.0,0.592844279093661,0.01660089793590863,2.800212217833669
Q3p85_W2p62_t0p21_higheps_right,3,0.27,0.308,10,216,240,1177.0,0.5564560097433332,0.016332245248829667,2.9350469691868293
Q3p85_W2p62_t0p21_higheps_right,3,0.27,0.308,11,240,264,637.0,0.3118426924928512,0.012440026934415656,3.9891994373736486
Q3p85_W2p62_t0p21_higheps_right,3,0.27,0.308,12,264,288,63.0,0.03404000444910829,0.004353518090358058,12.789416925214597
Q3p85_W2p62_t0p21_higheps_right,3,0.27,0.308,13,288,312,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,3,0.27,0.308,14,312,336,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,3,0.27,0.308,15,336,360,1.0,0.000614032160365241,0.000614032160365241,100.0
Q3p85_W2p62_t0p21_higheps_right,4,0.308,0.354,1,0,24,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,4,0.308,0.354,2,24,48,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,4,0.308,0.354,3,48,72,1.0,0.0006874866729910233,0.0006874866729910233,100.0
Q3p85_W2p62_t0p21_higheps_right,4,0.308,0.354,4,72,96,34.0,0.016224432702099573,0.002815313967917915,17.35231067619141
