(current_cut)_Total_COIN_Triggers,(current_cut)_Total_HMS_EL-REAL_Triggers,(current_cut)_Total_SHMS_3/4_Triggers,Accepted_COIN_Triggers,Accepted_HMS_Triggers,Accepted_SHMS_Triggers,BCM2_Beam_Cut_Charge,BCM2_Beam_Cut_Current,BCM2_Charge,BCM2_Current,BCM_Cut_HMS_Run_Length,BCM_Cut_SHMS_Run_Length,Beam_Energy,COIN_CPULT,COIN_Trigger_Rate,EDTM_Accepted_Triggers,HMS_Angle,HMS_CPULT,HMS_Cal_ALL_Elec_Eff,HMS_Cal_COIN_Elec_Eff,HMS_Cal_SING_Elec_Eff,HMS_Cer_ALL_Elec_Eff,HMS_Cer_COIN_Elec_Eff,HMS_Cer_SING_Elec_Eff,HMS_EL-REAL_Trigger_Rate,HMS_Elec_ALL_TRACK_EFF,HMS_Elec_COIN_TRACK_EFF,HMS_Elec_SING_TRACK_EFF,HMS_Hodo_3_of_4_EFF,HMS_Hodo_4_of_4_EFF,HMS_Hodo_Plane_1,HMS_Hodo_Plane_2,HMS_Hodo_Plane_3,HMS_Hodo_Plane_4,HMS_Hodo_S1XY,HMS_Hodo_S2XY,HMS_Hodoscope_S1X_Rate,HMS_Hodoscope_S1X_Triggers,HMS_P_Central,HMS_Particle_Mass,HMS_Run_Length,Non_Scaler_EDTM_Live_Time,Non_Scaler_EDTM_Live_Time_Corr,Pre-Scaled_COIN_Triggers,Pre-Scaled_HMS_EL-REAL_Triggers,Pre-Scaled_SHMS_3/4_Triggers,Ps1_factor,Ps2_factor,Ps3_factor,Ps4_factor,Ps5_factor,Ps6_factor,Run_Number,SHMS_3/4_Trigger_Rate,SHMS_Aero_ALL_Prot_Eff,SHMS_Aero_COIN_Prot_Eff,SHMS_Aero_SING_Prot_Eff,SHMS_Angle,SHMS_CPULT,SHMS_HGC_ALL_Prot_Eff,SHMS_HGC_COIN_Prot_Eff,SHMS_HGC_SING_Prot_Eff,SHMS_Hadron_ALL_TRACK_EFF,SHMS_Hodo_3_of_4_EFF,SHMS_Hodo_4_of_4_EFF,SHMS_Hodo_Plane_1,SHMS_Hodo_Plane_2,SHMS_Hodo_Plane_3,SHMS_Hodo_Plane_4,SHMS_Hodo_S1XY,SHMS_Hodo_S2XY,SHMS_Hodoscope_S1X_Rate,SHMS_Hodoscope_S1X_Triggers,SHMS_P_Central,SHMS_Particle_Mass,SHMS_Prot_ALL_TRACK_EFF,SHMS_Prot_COIN_TRACK_EFF,SHMS_Prot_SING_TRACK_EFF,SHMS_Run_Length,Target_Mass_(amu),Total_COIN_Triggers,Total_HMS_EL-REAL_Triggers,Total_SHMS_3/4_Triggers,COIN_CPULT_ERROR,HMS_CPULT_ERROR,HMS_Cal_ALL_Elec_Eff_ERROR,HMS_Cal_COIN_Elec_Eff_ERROR,HMS_Cal_SING_Elec_Eff_ERROR,HMS_Cer_ALL_Elec_Eff_ERROR,HMS_Cer_COIN_Elec_Eff_ERROR,HMS_Cer_SING_Elec_Eff_ERROR,HMS_Elec_ALL_TRACK_EFF_ERROR,HMS_Elec_COIN_TRACK_EFF_ERROR,HMS_Elec_SING_TRACK_EFF_ERROR,Non_Scaler_EDTM_Live_Time_Corr_ERROR,Non_Scaler_EDTM_Live_Time_ERROR,SHMS_Aero_ALL_Prot_Eff_ERROR,SHMS_Aero_COIN_Prot_Eff_ERROR,SHMS_Aero_SING_Prot_Eff_ERROR,SHMS_CPULT_ERROR,SHMS_HGC_ALL_Prot_Eff_ERROR,SHMS_HGC_COIN_Prot_Eff_ERROR,SHMS_HGC_SING_Prot_Eff_ERROR,SHMS_Hadron_ALL_TRACK_EFF_ERROR,SHMS_Prot_ALL_TRACK_EFF_ERROR,SHMS_Prot_COIN_TRACK_EFF_ERROR,SHMS_Prot_SING_TRACK_EFF_ERROR
9330.0,64959.0,2823910.0,9586.0,65268.0,1417038.0,33.843,53.485,33.844,51.684,632.754,685.586,9.176808,1.0018,0.014,7084.0,23.75,1.0009,0.9942,0.9991,0.9937,0.998,0.9991,0.9979,0.095,0.9972,0.9985,0.997,0.997829,0.763912,0.999283,0.99778,0.9935,0.771173,0.999998,0.998513,65.659,41545793.0,5.015,0.000511,632.754,1.0018,1.0018,0.0,0.0,2824507.0,1.0,1.0,1.0,0.0,0.0,1.0,11841.0,4.119,0.2624,0.3997,0.2456,23.79,0.5017,0.8772,0.9939,0.8572,0.7749,0.998653,0.937855,0.996143,0.987907,0.977354,0.975093,0.999953,0.999436,165.187,113249661.0,5.015,0.938272,0.9933,1.0,0.9918,685.586,1.007276,9330.0,64959.0,2823910.0,0.0,0.0003,0.0005,0.0006,0.0006,0.0003,0.0007,0.0003,0.0004,0.0009,0.0005,0.0,0.0,0.0032,0.0109,0.0033,0.0003,0.0044,0.0027,0.0051,0.0014,0.0012,0.0,0.0015
5765.0,34358.0,1445416.0,9614.0,38183.0,727555.0,19.112,42.348,19.165,22.875,451.304,450.818,9.176808,0.9995,0.013,8345.0,23.75,0.9978,0.9936,0.9982,0.9931,0.9972,1.0,0.9969,0.076,0.9974,0.999,0.9972,0.99765,0.749238,0.998811,0.99764,0.99395,0.756481,0.999997,0.998527,52.162,23540914.0,5.015,0.000511,451.304,0.9991,0.9991,0.0,0.0,1450895.0,1.0,1.0,1.0,0.0,0.0,1.0,11842.0,3.206,0.2671,0.4384,0.2456,23.79,0.5015,0.8818,1.0,0.8592,0.7755,0.998831,0.93941,0.991182,0.996255,0.983834,0.966963,0.999967,0.999466,129.462,58363629.0,5.015,0.938272,0.9917,0.9978,0.9902,450.818,1.007276,5765.0,34358.0,1445416.0,0.0002,0.0004,0.0008,0.0013,0.0009,0.0005,0.0,0.0006,0.0006,0.001,0.0006,0.0002,0.0002,0.0045,0.0153,0.0047,0.0004,0.006,0.0,0.0071,0.0019,0.0019,0.0022,0.0023
8837.0,62103.0,2687110.0,9194.0,62420.0,1346036.0,35.283,54.229,35.285,51.531,650.62,648.616,9.176808,0.9998,0.014,6821.0,23.75,0.9993,0.9944,0.999,0.9939,0.9982,0.9995,0.9981,0.096,0.998,0.9989,0.9978,0.997776,0.764397,0.998722,0.998065,0.993519,0.771861,0.999998,0.998521,66.745,43425728.0,5.015,0.000511,650.62,0.9995,0.9995,0.0,0.0,2687611.0,1.0,1.0,1.0,0.0,0.0,1.0,11843.0,4.143,0.267,0.4371,0.2458,23.79,0.5008,0.87,0.9906,0.8471,0.7761,0.999099,0.94665,0.992395,0.996075,0.986779,0.970494,0.99997,0.99961,165.673,107458026.0,5.015,0.938272,0.9887,0.9939,0.9874,648.616,1.007276,8837.0,62103.0,2687110.0,0.0002,0.0003,0.0005,0.0007,0.0006,0.0003,0.0005,0.0003,0.0004,0.0008,0.0004,0.0003,0.0003,0.0033,0.0113,0.0035,0.0003,0.0046,0.0033,0.0054,0.0014,0.0016,0.0027,0.0019
11094.0,67874.0,2853924.0,13405.0,70258.0,1435242.0,37.81,44.185,37.842,34.957,855.728,851.695,9.176808,1.0009,0.013,10795.0,23.75,1.0008,0.9938,0.9978,0.9933,0.9974,0.9991,0.9973,0.08,0.9971,0.9966,0.9972,0.997562,0.754657,0.999036,0.997819,0.992936,0.762422,0.999998,0.998322,54.655,46769712.0,5.015,0.000511,855.728,1.0008,1.0008,0.0,0.0,2857475.0,1.0,1.0,1.0,0.0,0.0,1.0,11844.0,3.351,0.2705,0.4268,0.2506,23.79,0.5023,0.8794,0.9967,0.8574,0.778,0.998292,0.927424,0.99646,0.988806,0.978434,0.962002,0.99996,0.999181,135.51,115413638.0,5.015,0.938272,0.9927,0.9966,0.9918,851.695,1.007276,11094.0,67874.0,2853924.0,0.0,0.0003,0.0006,0.001,0.0006,0.0004,0.0006,0.0004,0.0004,0.0013,0.0004,0.0,0.0,0.0032,0.0107,0.0034,0.0003,0.0043,0.0019,0.005,0.0013,0.0013,0.002,0.0015
6212.0,11122.0,4235870.0,9094.0,14001.0,1411963.0,28.217,47.543,28.247,32.007,593.51,591.507,9.176808,0.9981,0.011,8776.0,31.645,0.9973,0.9892,1.0,0.9871,0.9982,1.0,0.9978,0.019,0.9985,0.996,0.9991,0.997708,0.742721,0.999383,0.997627,0.993876,0.749537,0.999999,0.998466,34.509,20481502.0,3.738,0.000511,593.51,0.997,0.997,0.0,0.0,2120444.0,2.0,1.0,1.0,0.0,0.0,1.0,11847.0,7.161,0.2375,0.3246,0.2356,18.125,0.3329,0.8454,1.0,0.8417,0.7515,0.998302,0.929203,0.991597,0.993007,0.976378,0.966507,0.999941,0.999209,234.373,138633519.0,6.265,0.938272,0.983,1.0,0.9823,591.507,1.007276,6212.0,11122.0,4235870.0,0.0005,0.0002,0.0025,0.0,0.003,0.001,0.0,0.0013,0.0011,0.004,0.0009,0.0005,0.0005,0.0037,0.0286,0.0037,0.0002,0.0059,0.0,0.006,0.0015,0.0028,0.0,0.0029
4461.0,9334.0,4244362.0,4435.0,9287.0,1408668.0,11.365,64.522,11.365,64.522,176.143,418.929,9.176808,0.9942,0.011,4147.0,31.645,0.995,0.9901,0.9958,0.9892,0.9981,1.0,0.9978,0.022,0.9976,1.0,0.9971,0.997554,0.741972,1.0,0.997546,0.992736,0.749239,1.0,0.998178,46.783,8240444.0,3.738,0.000511,176.143,0.9933,0.9933,0.0,0.0,2122181.0,2.0,1.0,1.0,0.0,0.0,1.0,11848.0,10.131,0.239,0.2882,0.2381,18.125,0.3319,0.8466,0.9851,0.844,0.7544,0.991039,0.830899,0.991597,0.992754,0.913979,0.923497,0.999939,0.993419,320.601,134309218.0,6.265,0.938272,0.9812,1.0,0.9807,418.929,1.007276,4461.0,9334.0,4244362.0,0.0011,0.0002,0.0025,0.0042,0.0028,0.0011,0.0,0.0013,0.0014,0.0,0.0017,0.0013,0.0013,0.0038,0.0299,0.0038,0.0002,0.006,0.0148,0.0061,0.0015,0.003,0.0,0.0031
7878.0,16024.0,7229630.0,8040.0,16182.0,1450274.0,46.913,63.282,46.914,62.107,741.322,739.318,9.176808,1.0004,0.011,7538.0,31.645,0.9999,0.9895,1.0,0.988,0.9981,1.0,0.9977,0.022,0.9976,0.9973,0.9977,0.997739,0.743706,0.99926,0.998134,0.993582,0.750464,0.999999,0.998399,46.155,34215767.0,3.738,0.000511,741.322,1.0014,1.0014,0.0,0.0,2409973.0,3.0,1.0,1.0,0.0,0.0,1.0,11849.0,9.779,0.2377,0.3468,0.2342,18.125,0.2006,0.8432,1.0,0.8371,0.7536,0.997654,0.915394,0.986046,0.991561,0.982143,0.953271,0.999882,0.999166,309.456,228786308.0,6.265,0.938272,0.9849,0.993,0.9843,739.318,1.007276,7878.0,16024.0,7229630.0,0.0,0.0001,0.002,0.0,0.0023,0.0008,0.0,0.001,0.0011,0.0027,0.0012,0.0,0.0,0.0037,0.0239,0.0037,0.0001,0.0059,0.0,0.0061,0.0015,0.0026,0.007,0.0028
6352.0,12594.0,5396797.0,8082.0,14336.0,1085661.0,35.051,58.784,35.084,36.004,596.266,596.266,9.176808,1.0004,0.011,7669.0,31.645,0.8746,0.9905,1.0,0.9886,0.9976,1.0,0.9971,0.021,0.9975,0.9967,0.9977,0.997184,0.737947,0.999524,0.999063,0.990345,0.746195,1.0,0.997549,43.102,25700269.0,3.738,0.000511,596.266,0.8283,0.8283,0.0,0.0,1799823.0,3.0,1.0,1.0,0.0,0.0,1.0,11850.0,9.051,0.232,0.3689,0.2275,18.125,0.2011,0.8448,1.0,0.8381,0.7484,0.996672,0.902772,0.981928,0.993865,0.963768,0.959839,0.999889,0.998545,287.637,171507885.0,6.265,0.938272,0.9823,1.0,0.981,596.266,1.007276,6352.0,12594.0,5396797.0,0.0,0.0002,0.0021,0.0,0.0025,0.0011,0.0,0.0013,0.0012,0.0033,0.0013,0.0033,0.0033,0.0042,0.0266,0.0042,0.0002,0.0069,0.0,0.0072,0.0017,0.0033,0.0,0.0036
3525.0,7513.0,3408199.0,3416.0,7286.0,1101271.0,22.076,66.892,22.076,66.892,330.027,330.027,9.176808,0.9691,0.011,3188.0,31.645,0.9698,0.9919,1.0,0.9905,0.9968,1.0,0.9962,0.023,1.0,1.0,1.0,0.996119,0.72615,0.999202,0.998489,0.987607,0.736963,0.999999,0.99674,48.355,15958475.0,3.738,0.000511,330.027,0.9693,0.9693,0.0,0.0,1704100.0,2.0,1.0,1.0,0.0,0.0,1.0,11859.0,10.327,0.2266,0.3567,0.2242,18.125,0.3231,0.8229,1.0,0.8188,0.7527,0.997142,0.902564,1.0,0.99,0.961538,0.948148,1.0,0.998006,326.148,107637532.0,6.265,0.938272,0.9789,1.0,0.978,330.027,1.007276,3525.0,7513.0,3408199.0,0.0029,0.0003,0.0025,0.0,0.003,0.0016,0.0,0.0019,0.0,0.0,0.0,0.003,0.003,0.0042,0.0366,0.0043,0.0003,0.0074,0.0,0.0075,0.0017,0.0037,0.0,0.0039
9633.0,18238.0,7520774.0,11871.0,20474.0,1512382.0,49.058,53.691,49.08,43.262,913.704,909.698,9.176808,1.0001,0.011,11302.0,31.645,0.9993,0.9903,0.998,0.9887,0.9979,1.0,0.9975,0.02,0.9969,1.0,0.9962,0.997353,0.727149,0.998593,0.998599,0.99288,0.734424,0.999998,0.998109,39.257,35869426.0,3.738,0.000511,913.704,0.9997,0.9997,0.0,0.0,2508282.0,3.0,1.0,1.0,0.0,0.0,1.0,11860.0,8.267,0.2279,0.3282,0.2245,18.125,0.201,0.8381,1.0,0.8317,0.752,0.996278,0.898654,0.983264,0.988636,0.959391,0.963585,0.99981,0.998521,264.79,240878941.0,6.265,0.938272,0.9822,1.0,0.981,909.698,1.007276,9633.0,18238.0,7520774.0,0.0,0.0001,0.0018,0.002,0.0022,0.0009,0.0,0.001,0.0012,0.0,0.0014,0.0002,0.0002,0.0036,0.022,0.0036,0.0001,0.006,0.0,0.0062,0.0014,0.0028,0.0,0.0029
