COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_scaler,CPULT_scaler_uncern,HMSTRIG_cut,HMSTRIG_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,charge,curr_corr,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,run number,sent_edtm,sent_edtm_PS,time,tot_events,c_int_Track_events,c_int_noTrack_events,c_int_Track_Rand_events,c_int_noTrack_Rand_events,HMS_3-4Trig_scaler,SHMS_3-4Trig_scaler
,915215.0,,0.9969055752516516,0.001453111352912,,66808388.0,,0.989218564137984,0.0014187167663422,,,,65.0,,,,,,61281180.0,65.0,0.989218564137984,0.0014187167663422,0.9959,0.0022,4301.0,34815.48296815112,0.9995840382651808,-1.0,-1.0,-1.0,590459.0396491489,587395.8361332711,4301.0,16759,284347.0,4374.569230769231,438.8457180000001,939871,,,,,,
,323069.0,,0.998548700115153,0.0014140609786905,,35798049.0,,0.994615860638502,0.0011741303778383,,,,33.0,,,,,,32935302.0,33.0,0.994615860638502,0.0011741303778383,0.9973,0.0021,4392.0,18339.74599551317,0.9991672517228026,-1.0,-1.0,-1.0,637103.9029188693,638350.6344007243,4392.0,16760,153305.0,4645.606060606061,462.799754,992883,,,,,,
,158753.0,,0.9909112401166305,0.0012198914839416,,24488377.0,,0.9966628807722396,0.0010171002064229,,,,17.0,,,,,,22536848.0,17.0,0.9966628807722396,0.0010171002064229,0.9979,0.0019,5020.0,12537.94373897692,0.9986703537855116,-1.0,-1.0,-1.0,859026.0471732833,868345.3180822168,5020.0,16761,86060.0,5062.35294117647,505.18271,1312773,,,,,,
,11319.0,,0.9959011550208868,0.0012555879149207,,2798560.0,,0.9996395589198144,0.0005827591698309,,,,2.0,,,,,,2521686.0,2.0,0.9996395589198144,0.0005827591698309,0.9987,0.0018,5126.0,7759.676980889752,0.9977793404499392,-1.0,-1.0,-1.0,834983.5871953992,846582.3715637267,5126.0,16742,10392.0,5196.0,522.169721,1250674,,,,,,
,79982.0,,0.977588341681698,0.0010800611834804,,16501194.0,,0.9981346534287442,0.0008503193359788,,,,9.0,,,,,,14915496.0,9.0,0.9981346534287442,0.0008503193359788,0.9983,0.0016,5528.0,45961.18673485397,0.9995841962469278,-1.0,-1.0,-1.0,1080902.5118058214,1095567.2629093234,5528.0,16746,52034.0,5781.555555555556,579.11618,1615067,,,,,,
,5658.0,,0.9944033729389412,0.0011944313119952,,1544554.0,,0.9997900697913674,0.0005160514789199,,,,1.0,,,,,,1390123.0,1.0,0.9997900697913674,0.0005160514789199,0.9988,0.0018,5327.0,4293.1886340230985,0.9958488174857344,-1.0,-1.0,-1.0,920124.2913307622,933917.519038886,5327.0,16741,5382.0,5382.0,540.054836,1378948,,,,,,
,35157.0,,0.9997966673183448,0.0014289091221476,,9747578.0,,0.9986032293118776,0.000839211856345,,,,9.0,,,,,,8813143.0,9.0,0.9986032293118776,0.000839211856345,0.9985,0.002,2516.0,26983.05653480438,0.9994432747942538,-1.0,-1.0,-1.0,654965.3541676592,664307.0820787784,2516.0,16745,22726.0,2525.111111111112,455.216597,979039,,,,,,
,92732.0,,0.9842265453708942,0.0010016467754482,,19024560.0,,0.9980219436560612,0.0008343363922687,,,,9.0,,,,,,17518610.0,9.0,0.9980219436560612,0.0008343363922687,0.9984,0.0015,6458.0,9731.741195525265,0.9977806077978184,-1.0,-1.0,-1.0,1259785.645775375,1270459.1933513938,6458.0,16762,59015.0,6557.222222222223,654.501531,1915810,,,,,,
,17973.0,,0.9944744123320244,0.0011932463949722,,4627222.0,,0.9994110040413916,0.0006566258764268,,,,3.0,,,,,,4179103.0,3.0,0.9994110040413916,0.0006566258764268,0.9986,0.0018,5138.0,12834.260858040976,0.9986695082531144,-1.0,-1.0,-1.0,923687.1623775376,938020.7124737852,5138.0,16743,15501.0,5167.0,517.4508529999999,1381732,,,,,,
,20921.0,,0.9943820981161664,0.0012459900906596,,7066558.0,,0.9990525628709443,0.0007490495145768,,,,5.0,,,,,,6387082.0,5.0,0.9990525628709443,0.0007490495145768,0.9986,0.0018,2916.0,19607.17298490653,0.9991660555803435,-1.0,-1.0,-1.0,847641.0675646324,858909.2564293058,2916.0,16744,14860.0,2972.0,495.493712,1265464,,,,,,
,107139.0,,0.8045006335041041,0.0028279225487603,27732.0,2482697.0,17.0,0.9996681439599024,0.0005612018729312,0.9973,0.0054,,,,17.0,,,,10831896.0,,0.9996681439599024,0.0005612018729312,0.9892,0.0551,6053.0,1545.625497968061,0.9868787876987916,106935.4699561487,107064.75317581186,6053.0,-1.0,-1.0,-1.0,16711,104457.0,6144.529411764706,614.560009,146405,,,,,,
,173474.0,,0.8153429149215157,0.0013548294893113,113623.0,5918630.0,9.0,0.9981789199677802,0.0010620369292298,0.9972,0.0023,,,,9.0,,,,8127129.0,,0.9981789199677802,0.0010620369292298,0.9832,0.0197,18094.0,19812.62630071633,0.9995853860193332,496867.0383503964,497593.2547151496,18094.0,-1.0,-1.0,-1.0,16727,161798.0,17977.555555555555,248.927026,657461,,,,,,
,307154.0,,0.7996026297863433,0.0010439851459857,170973.0,17947235.0,17.0,0.9989976863853872,0.0005940164438256,0.9974,0.002,,,,17.0,,,,80274266.0,,0.9989976863853872,0.0005940164438256,0.9907,0.0117,14270.0,11402.137865782952,0.9958498057343256,792003.9524193939,792287.2966349717,14270.0,-1.0,-1.0,-1.0,16710,243731.0,14337.117647058823,1433.972339,1054692,,,,,,
,1491713.0,,0.7950092428295366,0.001076107463983,141204.0,63685346.0,65.0,0.9952748914438548,0.000939336346492,0.9962,0.002,,,,65.0,,,,288598487.0,,0.9952748914438548,0.000939336346492,0.9892,0.0058,5118.0,41050.70729191877,0.9991641080559712,726288.6671463726,723388.4094710503,5118.0,-1.0,-1.0,-1.0,16706,345082.0,5308.953846153846,1039.8168340000002,979716,,,,,,
