Physics Setting,Run Type,Run Number,Charge,Charge Error,HMS Tracking Eff,HMS Tracking Eff Error,SHMS Tracking Eff,SHMS Tracking Eff Error,HMS Cer Detector Eff,HMS Cer Detector Eff Error,HMS Cal Detector Eff,HMS Cal Detector Eff Error,HMS Hodo 3/4 Eff,HMS Hodo 3/4 Eff Error,SHMS Hodo 3/4 Eff,SHMS Hodo 3/4 Eff Error,EDTM Live Time,EDTM Live Time Error,Boiling Factor,Boiling Factor Error,Dummy Target Correction,Dummy Target Correction Error,Effective Charge,Effective Charge Error
Q3p85_W2p62_t0p21_loweps_left,data,16394.0,246.426803,48.995955,0.9964,0.0004,0.9916,0.0005,0.9981,0.0001,0.9981,0.0001,0.997013,0.0004,0.975137,0.0005,0.9937,0.0004,0.98309,0.13218,NA,NA,213.58195623633998,51.26577825545335
Q3p85_W2p62_t0p21_loweps_left,data,16395.0,240.240898,39.553953,0.997,0.0004,0.9918,0.0005,0.9981,0.0001,0.9981,0.0001,0.99716,0.0004,0.976011,0.0005,0.9943,0.0004,0.98009,0.15226,NA,NA,208.24389089898156,47.141464470199736
Q3p85_W2p62_t0p21_loweps_left,data,16396.0,71.799897,3.959688,0.9967,0.0007,0.9918,0.001,0.9981,0.0001,0.9981,0.0001,0.997243,0.0007,0.977094,0.001,0.9943,0.0006,0.98224,0.13786,NA,NA,62.19184355575035,9.381724146444599
Q3p85_W2p62_t0p21_loweps_left,data,16397.0,130.923442,12.266043,0.9968,0.0005,0.992,0.0007,0.9981,0.0001,0.9981,0.0001,0.995939,0.0005,0.975181,0.0007,0.9945,0.0005,0.98093,0.14659,NA,NA,112.9755462356729,19.92946433149019
Q3p85_W2p62_t0p21_loweps_left,data,16398.0,186.989442,26.847574,0.9967,0.0004,0.9921,0.0006,0.9981,0.0001,0.9981,0.0001,0.997161,0.0004,0.975227,0.0006,0.9946,0.0004,0.98223,0.1379,NA,NA,162.00789184201005,32.53540573041841
Q3p85_W2p62_t0p21_loweps_left,dummy,16333.0,114.176134,20.038252,0.9965,0.0005,0.9955,0.0005,0.9981,0.0001,0.9981,0.0001,0.997245,0.0005,0.984247,0.0005,0.9994,0.0001,NA,NA,3.527,0.227,108.01503430865652,3.417619373372624
Q3p85_W2p62_t0p21_loweps_left,dummy,16334.0,78.125853,8.390321,0.9963,0.0006,0.9951,0.0006,0.9981,0.0001,0.9981,0.0001,0.997505,0.0006,0.985173,0.0006,0.9998,0.0001,NA,NA,3.527,0.227,73.67460939650836,1.0000220623529248
Q3p85_W2p62_t0p21_loweps_left,dummy,16335.0,56.315234,4.291404,0.9962,0.0007,0.9951,0.0007,0.9981,0.0001,0.9981,0.0001,0.997384,0.0007,0.987412,0.0007,0.9996,0.0002,NA,NA,3.527,0.227,53.14542820794974,0.5175249377022303


Variable,Value
Total Data Effective Charge,2879.5684077134238
Total Data Effective Charge Error,173.54642306463606
Total Dummy Effective Charge,828.26330
Total Dummy Effective Charge Error,54.797497069909994
Normalization Data Factor (Data),0.0003472742641992204
Normalization Dummy Factor (Dummy),0.0012073455405363749
Normalization SIMC Factor,22.999444444444446
