Run_Start,Run_End,noedtm,edtmLow,edtmHigh,edtmTLow,edtmTHigh,ptrigHMSLow,ptrigHMSHigh,ptrigHMSTLow,ptrigHMSTHigh,ptrigSHMSLow,ptrigSHMSHigh,ptrigSHMSTLow,ptrigSHMSTHigh,ptrigCOINLow,ptrigCOINHigh,ptrigCOINTLow,ptrigCOINTHigh,goodstarttime,goodscinhit
12234,12234,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4761,5045,-10000,10000,1,1
12238,12238,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4749,5032,-10000,10000,1,1
12239,12239,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4764,5050,-10000,10000,1,1
12240,12240,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4749,5034,-10000,10000,1,1
12243,12243,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4746,5031,-10000,10000,1,1
12244,12244,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4742,5062,-10000,10000,1,1
12245,12245,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4759,5043,-10000,10000,1,1
12246,12246,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4748,5030,-10000,10000,1,1
12247,12247,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4747,5032,-10000,10000,1,1
12248,12248,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4771,5053,-10000,10000,1,1
12250,12250,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4764,5049,-10000,10000,1,1
12251,12251,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4768,5052,-10000,10000,1,1
12252,12252,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4770,5053,-10000,10000,1,1
12253,12253,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4767,5052,-10000,10000,1,1
12254,12254,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4740,5060,-10000,10000,1,1
12255,12255,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4740,5060,-10000,10000,1,1
12256,12256,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4767,5049,-10000,10000,1,1
12257,12257,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4748,5031,-10000,10000,1,1
12258,12258,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4738,5059,-10000,10000,1,1
12259,12259,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4745,5029,-10000,10000,1,1
12126,12126,0,2590,3060,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12128,12128,0,2590,3060,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12129,12129,0,2590,3060,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12130,12130,0,2590,3060,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12131,12131,0,2590,3060,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12132,12132,0,2590,3060,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12133,12133,0,2590,3060,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12135,12135,0,2590,3060,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12137,12137,0,2590,3060,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12140,12140,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12141,12141,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12142,12142,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12143,12143,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12144,12144,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12145,12145,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12147,12147,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12148,12148,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12150,12150,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12151,12151,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12152,12152,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12153,12153,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12154,12154,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12158,12158,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12159,12159,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12160,12160,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12161,12161,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12162,12162,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12164,12164,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12166,12166,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12167,12167,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12170,12170,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12171,12171,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12172,12172,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12174,12174,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12175,12175,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12181,12181,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12184,12184,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12185,12185,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12186,12186,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12187,12187,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12189,12189,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12190,12190,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12191,12191,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12192,12192,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12193,12193,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12194,12194,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12195,12195,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12196,12196,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12197,12197,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12198,12198,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
12199,12199,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
0,99999,0,50,4000,178,180,4760,5060,450,520,5520,5820,425,455,0,10000,-10000,10000,1,1
