Physics_Setting,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,avg_Q2,avg_Q2_err,avg_W,avg_W_err,avg_eps,avg_eps_err,avg_theta,avg_theta_err
Q3p85_W2p62_t0p21_higheps_left,5,3,0.2720,0.3100,0.2910,15,180.0000,3.845284,0.002732,2.617016,0.000662,0.779756,0.000045,0.037155,0.000137
Q3p85_W2p62_t0p21_higheps_left,5,4,0.3100,0.3580,0.3340,15,180.0000,3.879283,0.002510,2.609191,0.000610,0.779836,0.000037,0.045280,0.000121
Q3p85_W2p62_t0p21_higheps_left,5,5,0.3580,0.5000,0.4290,15,180.0000,3.889234,0.001844,2.607668,0.000450,0.779672,0.000027,0.059285,0.000098
Q3p85_W2p62_t0p21_loweps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.667066,0.000433,2.665386,0.000109,0.285068,0.000029,0.019349,0.000026
Q3p85_W2p62_t0p21_loweps_center,5,2,0.2360,0.2720,0.2540,15,180.0000,3.840643,0.000518,2.620529,0.000136,0.291741,0.000036,0.025315,0.000031
Q3p85_W2p62_t0p21_loweps_center,5,3,0.2720,0.3100,0.2910,15,180.0000,3.940048,0.000658,2.594742,0.000171,0.295300,0.000038,0.029619,0.000037
Q3p85_W2p62_t0p21_loweps_center,5,4,0.3100,0.3580,0.3340,15,180.0000,4.008628,0.000794,2.577257,0.000204,0.297445,0.000042,0.034566,0.000045
Q3p85_W2p62_t0p21_loweps_center,5,5,0.3580,0.5000,0.4290,15,180.0000,4.099084,0.000881,2.554346,0.000223,0.300147,0.000044,0.040090,0.000059
Q3p85_W2p62_t0p21_loweps_center,5,1,0.1600,0.2080,0.1840,15,180.0000,3.586038,0.000543,2.685931,0.000129,0.282095,0.000037,0.016383,0.000036
Q3p85_W2p62_t0p21_loweps_center,5,2,0.2080,0.2260,0.2170,15,180.0000,3.704277,0.000641,2.656194,0.000162,0.286283,0.000050,0.020731,0.000043
Q3p85_W2p62_t0p21_loweps_center,5,3,0.2260,0.2640,0.2450,15,180.0000,3.810284,0.000484,2.628432,0.000127,0.290585,0.000035,0.024302,0.000030
Q3p85_W2p62_t0p21_loweps_center,5,4,0.2640,0.3020,0.2830,15,180.0000,3.921899,0.000618,2.599396,0.000161,0.294708,0.000037,0.028661,0.000035
Q3p85_W2p62_t0p21_loweps_center,5,5,0.3020,0.3520,0.3270,15,180.0000,3.998783,0.000741,2.579762,0.000191,0.297140,0.000040,0.033721,0.000041
Q3p85_W2p62_t0p21_loweps_center,5,6,0.3520,0.5000,0.4260,15,180.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Q3p85_W2p62_t0p21_loweps_left,5,1,0.1600,0.2080,0.1840,15,180.0000,3.540420,0.001589,2.692936,0.000419,0.283917,0.000118,0.024271,0.000087
Q3p85_W2p62_t0p21_loweps_left,5,2,0.2080,0.2260,0.2170,15,180.0000,3.652253,0.001258,2.665754,0.000342,0.287184,0.000102,0.025421,0.000077
Q3p85_W2p62_t0p21_loweps_left,5,3,0.2260,0.2640,0.2450,15,180.0000,3.773696,0.000766,2.635617,0.000204,0.290891,0.000053,0.028316,0.000045
Q3p85_W2p62_t0p21_loweps_left,5,4,0.2640,0.3020,0.2830,15,180.0000,3.863313,0.000761,2.613421,0.000199,0.293367,0.000043,0.034157,0.000042
Q3p85_W2p62_t0p21_loweps_left,5,5,0.3020,0.3520,0.3270,15,180.0000,3.904911,0.000708,2.603354,0.000183,0.294267,0.000037,0.042006,0.000038
Q3p85_W2p62_t0p21_loweps_left,5,6,0.3520,0.5000,0.4260,15,180.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
