Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_higheps_center,3,0.272,0.308,5,96,120,967.0,0.4830343732695237,0.015642038281356203,3.238286785985778
Q3p85_W2p62_t0p21_higheps_center,3,0.272,0.308,6,120,144,556.0,0.27374316452493963,0.011690551115145942,4.270627591901336
Q3p85_W2p62_t0p21_higheps_center,3,0.272,0.308,7,144,168,334.0,0.1630191873985047,0.008978816642532177,5.507828118774278
Q3p85_W2p62_t0p21_higheps_center,3,0.272,0.308,8,168,192,258.0,0.12563041981244594,0.007868377341846504,6.263114740516851
Q3p85_W2p62_t0p21_higheps_center,3,0.272,0.308,9,192,216,311.0,0.15207190292599185,0.008685280869082327,5.711298867160986
Q3p85_W2p62_t0p21_higheps_center,3,0.272,0.308,10,216,240,590.0,0.28794053564300665,0.011915345888918762,4.138127291563978
Q3p85_W2p62_t0p21_higheps_center,3,0.272,0.308,11,240,264,986.0,0.48919555180188645,0.015677378893397247,3.2047263789811082
Q3p85_W2p62_t0p21_higheps_center,3,0.272,0.308,12,264,288,1133.0,0.5529389495783094,0.016538975735984222,2.99110340275313
Q3p85_W2p62_t0p21_higheps_center,3,0.272,0.308,13,288,312,913.0,0.42766693855461985,0.014324363868493983,3.3494204431387287
Q3p85_W2p62_t0p21_higheps_center,3,0.272,0.308,14,312,336,330.0,0.16124977284036637,0.009057033772257148,5.616773042665558
Q3p85_W2p62_t0p21_higheps_center,3,0.272,0.308,15,336,360,115.0,0.06710593795116006,0.006383521378617852,9.51260286871156
Q3p85_W2p62_t0p21_higheps_center,4,0.308,0.354,1,0,24,68.0,0.03876476948457751,0.004750960251202826,12.255871283055061
Q3p85_W2p62_t0p21_higheps_center,4,0.308,0.354,2,24,48,127.0,0.06701602253782483,0.00601998837188082,8.982909077427042
Q3p85_W2p62_t0p21_higheps_center,4,0.308,0.354,3,48,72,701.0,0.29946404994491804,0.011499580703677882,3.840053824755612
Q3p85_W2p62_t0p21_higheps_center,4,0.308,0.354,4,72,96,1388.0,0.6034482254975081,0.01637897841336439,2.7142309350335516
Q3p85_W2p62_t0p21_higheps_center,4,0.308,0.354,5,96,120,1193.0,0.5206808701472171,0.015194580919974797,2.918213783363827
Q3p85_W2p62_t0p21_higheps_center,4,0.308,0.354,6,120,144,605.0,0.26394297113505405,0.010837005140493143,4.1058131208760535
Q3p85_W2p62_t0p21_higheps_center,4,0.308,0.354,7,144,168,365.0,0.15938698977753982,0.008423879425779265,5.285173800908513
Q3p85_W2p62_t0p21_higheps_center,4,0.308,0.354,8,168,192,282.0,0.12208084786803593,0.007334617315252605,6.007999979801096
Q3p85_W2p62_t0p21_higheps_center,4,0.308,0.354,9,192,216,330.0,0.14117344166069484,0.007840700947657897,5.553948997363635
Q3p85_W2p62_t0p21_higheps_center,4,0.308,0.354,10,216,240,653.0,0.28338170596662515,0.011173328123371047,3.942854421480182
Q3p85_W2p62_t0p21_higheps_center,4,0.308,0.354,11,240,264,1138.0,0.49630662357865235,0.014826633401700496,2.9873938201332186
Q3p85_W2p62_t0p21_higheps_center,4,0.308,0.354,12,264,288,1333.0,0.5791759884090558,0.01602449386373494,2.766774552887245
Q3p85_W2p62_t0p21_higheps_center,4,0.308,0.354,13,288,312,673.0,0.2904837232350417,0.01137479888912791,3.9158128250525484
Q3p85_W2p62_t0p21_higheps_center,4,0.308,0.354,14,312,336,106.0,0.057417083235248766,0.005666675520733805,9.869319724090394
Q3p85_W2p62_t0p21_higheps_center,4,0.308,0.354,15,336,360,77.0,0.0435022494608326,0.005009727155740366,11.516018637727896
Q3p85_W2p62_t0p21_higheps_center,5,0.354,0.5,1,0,24,17.0,0.008709137504322118,0.0021279971670869506,24.43407474082113
Q3p85_W2p62_t0p21_higheps_center,5,0.354,0.5,2,24,48,45.0,0.02315760195999953,0.0034748651853784406,15.005289370551523
Q3p85_W2p62_t0p21_higheps_center,5,0.354,0.5,3,48,72,476.0,0.18089442568003555,0.008468952969776561,4.681710305853409
